gen 	nevals	avg    	min   	max   
0   	50    	2099.32	586.4 	3519.6
1   	50    	2398.47	640.4 	3282  
2   	50    	2539.12	1714  	3306  
3   	50    	2438.02	632.8 	3345.2
4   	50    	2526.45	753.6 	3436.8
5   	50    	2387.23	552   	3945.2
6   	50    	2464.91	638.8 	3768  
7   	50    	2416.47	704   	3460.4
8   	50    	2606.1 	1808  	3339.6
9   	50    	2462.86	549.6 	3305.6
10  	50    	2504.34	1742  	3336.8
11  	50    	2553.67	626.4 	3923.6
12  	50    	2552.13	659.6 	3865.2
13  	50    	2552.13	786.4 	3378  
14  	50    	2536.48	1691.2	3460  
15  	50    	2445.75	486.4 	3361.2
16  	50    	2354.78	618   	3706  
17  	50    	2378.39	606.8 	3504  
18  	50    	2533.77	1549.6	3359.6
19  	50    	2465.56	674   	3510.8
20  	50    	2537.2 	1571.6	3403.2
21  	50    	2619.66	1516  	3820  
22  	50    	2540.15	1506  	3554.8
23  	50    	2516.5 	1609.2	3755.6
24  	50    	2529   	1696.4	3520.8
25  	50    	2458.4 	486   	3383.6
26  	50    	2479.72	773.6 	4038  
27  	50    	2593.02	765.2 	3923.6
28  	50    	2553.1 	1855.2	3615.2
29  	50    	2534.62	1684.8	3471.2
30  	50    	2609.09	1972.4	3533.2
31  	50    	2496.14	767.6 	3541.2
32  	50    	2505.82	1875.2	3521.6
33  	50    	2526.53	1868  	3455.2
34  	50    	2502.74	1659.2	3944  
35  	50    	2510.83	1408  	3901.2
36  	50    	2523.22	1052  	3317.2
37  	50    	2514.15	635.6 	3760.4
38  	50    	2518.94	478.8 	3499.6
39  	50    	2581.22	1825.6	3219.6
40  	50    	2576.96	1801.6	3723.2
41  	50    	2569.91	1706.4	3535.6
42  	50    	2448.94	1601.2	3462.4
43  	50    	2640.67	1822.4	3548  
44  	50    	2577.18	1556.4	3470.4
45  	50    	2565.95	1724.4	3630.8
46  	50    	2485.2 	1742  	3581.6
47  	50    	2548.49	1730  	3378.4
48  	50    	2625.64	1738.4	3633.2
49  	50    	2610.63	1698.4	3508.8
50  	50    	2604.54	1918.4	3661.2
51  	50    	2744.02	1674.4	3483.6
52  	50    	2625.36	1652.8	3608  
53  	50    	2591.03	1621.6	4275.6
54  	50    	2699.23	1874.4	4113.6
55  	50    	2707.87	1732.4	3963.6
56  	50    	2784.74	1552  	4099.2
57  	50    	2760.5 	1973.6	3519.6
58  	50    	2804.02	1763.6	4064.4
59  	50    	2878.74	1862.8	4144.8
60  	50    	2879.78	1863.6	4022.8
61  	50    	2696.26	1731.2	3761.2
62  	50    	2842.91	1972.4	4270  
63  	50    	2778.35	1782.8	3510.4
64  	50    	2797.82	1674.8	3842.8
65  	50    	2846.64	1768.8	3795.2
66  	50    	2854.9 	976.4 	3877.2
67  	50    	2827.58	1622.8	4086.4
68  	50    	2774.43	1983.2	3520.4
69  	50    	3030.26	1919.6	4499.6
70  	50    	2910.26	1950  	3502.4
71  	50    	2794.77	1950  	4619.2
72  	50    	2823.62	1976.4	3616  
73  	50    	2879.32	1684  	3927.6
74  	50    	2906.25	2125.6	3954.8
75  	50    	2919.23	2122.8	3729.2
76  	50    	2922.78	940   	4109.6
77  	50    	2942.86	1889.6	5030.4
78  	50    	2810.22	1910.4	4266.8
79  	50    	2955.65	1677.2	4061.6
80  	50    	2877.1 	1529.2	4008  
81  	50    	2882   	1949.2	3951.2
82  	50    	2812.21	1817.6	3871.2
83  	50    	2803.67	2032  	4102.4
84  	50    	2998.28	1812  	4276  
85  	50    	2967.31	1924  	3934.4
86  	50    	2854.18	2061.2	4268.4
87  	50    	2647.97	1141.2	3728.8
88  	50    	2853.22	1556.4	3781.2
89  	50    	2925.66	1931.6	4177.2
90  	50    	2968.96	2072.8	4271.2
91  	50    	2798.79	1403.2	3621.2
92  	50    	2902.8 	1814  	4247.6
93  	50    	2843.5 	2033.2	4624.4
94  	50    	3026.39	2020.4	4336  
95  	50    	2787.8 	2033.2	4194.8
96  	50    	2863.7 	1806.4	4252.8
97  	50    	2739.66	1928  	3927.2
98  	50    	2708.14	1823.6	3973.2
99  	50    	2814.59	791.2 	4594.4
100 	50    	2911.46	2084.4	4259.6
101 	50    	2929.05	2045.2	4291.6
102 	50    	2874.69	1820  	4318.8
103 	50    	2850.88	2054.8	3799.6
104 	50    	2904.46	1966.4	4069.2
105 	50    	2860.89	1986.8	4306  
106 	50    	2901.22	2116.8	4042.4
107 	50    	2763.52	1959.6	4071.6
108 	50    	2762.1 	1722  	3901.2
109 	50    	2933.35	755.2 	3993.6
110 	50    	2894.03	617.2 	4039.6
111 	50    	2812.61	2044.8	3801.6
112 	50    	2920.15	2120.8	4266.8
113 	50    	2852.74	1259.2	3904.8
114 	50    	2858.09	1981.2	3946  
115 	50    	2806.21	2000.4	4261.2
116 	50    	2955.06	2245.6	4012  
117 	50    	2954.89	2056.4	3810.8
118 	50    	2930.5 	1888.8	4194  
119 	50    	2950.76	1888.8	3930.4
120 	50    	2968.13	2124  	3780.8
121 	50    	2938.03	2004.8	3947.2
122 	50    	2847.82	1730.8	4385.2
123 	50    	2969.74	2186.4	3922.8
124 	50    	2915.54	1999.6	4474.8
125 	50    	2875.11	1786.4	4279.2
126 	50    	2978.78	1805.2	4258.4
127 	50    	2923.7 	1966.4	4156  
128 	50    	2866.22	1986.8	3911.2
129 	50    	2786.08	740   	3856.4
130 	50    	2950.27	1803.6	4796.8
131 	50    	2779.01	1840.4	3796.8
132 	50    	2875.3 	1870.4	3896.8
133 	50    	2836.86	634.8 	4107.6
134 	50    	2842.88	1686  	4187.6
135 	50    	2806.53	2104.8	3734  
136 	50    	2784.57	1860.8	3849.6
137 	50    	2753.38	1960.4	4002  
138 	50    	2694.38	1200.8	3805.6
139 	50    	2794.62	1575.2	3920  
140 	50    	2822.37	2006.4	4236.8
141 	50    	2880.74	1668  	4231.6
142 	50    	2799.26	1922.4	3778.4
143 	50    	2980.76	1780.8	3844  
144 	50    	2819.86	1863.6	3943.6
145 	50    	2846.06	1792.8	3658.8
146 	50    	2902.27	1817.2	3977.6
147 	50    	2914.74	1866  	4738  
148 	50    	2933.36	2143.6	3757.6
149 	50    	2797.38	1568.4	4346.4
150 	50    	2916.66	1667.6	4252  
151 	50    	2830.94	1902  	4378  
152 	50    	2996.26	1794  	4170  
153 	50    	2875.08	1913.2	4182.4
154 	50    	2920.86	1893.6	4037.2
155 	50    	2803.42	1816  	3934.8
156 	50    	2788.87	1623.6	3993.2
157 	50    	2842.59	1527.2	3865.2
158 	50    	2773.59	1758.4	3940.4
159 	50    	2951.58	1709.2	4252  
160 	50    	2836.94	1877.6	3752.8
161 	50    	2836.53	1814.4	3860.8
162 	50    	2990.45	1932  	4494  
163 	50    	2810.38	1540.8	3734  
164 	50    	2905.59	2145.6	3876  
165 	50    	2784.95	809.6 	3984.8
166 	50    	2831.58	1620.4	4092.8
167 	50    	2949.77	2156.8	3824.4
168 	50    	2829.36	2043.2	3958  
169 	50    	2864.5 	1932  	4474.8
170 	50    	2733.69	810.8 	3925.2
171 	50    	2925.98	730.4 	4208.8
172 	50    	2939.06	1767.2	4093.2
173 	50    	2813.02	1558.4	3749.2
174 	50    	2879.34	1528.8	4000  
175 	50    	2732.71	498.4 	4118.8
176 	50    	2928.11	1976.8	4088  
177 	50    	2919.4 	2062  	4042  
178 	50    	2834.54	1590  	3796  
179 	50    	2878.12	2222.8	3774  
180 	50    	2910.89	2056.8	4122  
181 	50    	2863.63	1929.2	3787.6
182 	50    	2811.88	1739.2	4066  
183 	50    	2933.59	1847.2	3996.4
184 	50    	2947.76	758.4 	4498.4
185 	50    	2945.88	2136  	4350.8
186 	50    	2876.76	2001.2	4129.6
